entry_date,exit_date,nifty_return_pct,lots,premium_paid,premium_pct,payout_gross,payout_net,hedged_portfolio,unhedged_portfolio
1999-12-30,2000-12-29,-24.24,128,1067877.0,10.679,2389088.0,1600689.0,8108331.0,7575519.0
2000-12-29,2001-12-31,-23.25,137,738157.0,9.104,1775657.0,1189690.0,6674567.0,5814108.0
2001-12-31,2002-12-31,10.31,147,469940.0,7.041,0.0,0.0,6892948.0,6413693.0
2002-12-31,2003-12-31,98.14,137,339111.0,4.92,0.0,0.0,13318800.0,12708299.0
2003-12-31,2004-12-31,17.86,134,723888.0,5.435,0.0,0.0,14974092.0,14978423.0
2004-12-31,2005-12-30,36.25,128,439073.0,2.932,0.0,0.0,19963324.0,20408299.0
2005-12-30,2006-12-29,33.99,125,1216841.0,6.095,0.0,0.0,25531721.0,27344777.0
2006-12-29,2007-12-31,62.51,119,1237705.0,4.848,0.0,0.0,40253234.0,44437289.0
2007-12-31,2008-12-31,-57.13,116,4535759.0,11.268,23406067.0,15682065.0,28404296.0,19051843.0
2008-12-31,2009-12-31,88.57,190,4644399.0,16.351,0.0,0.0,48917630.0,35926093.0
2009-12-31,2010-12-31,14.13,174,3613585.0,7.387,0.0,0.0,52217785.0,41003683.0
2010-12-31,2011-12-30,-27.19,163,2321525.0,4.446,13797388.0,9244250.0,44945075.0,29856808.0
2011-12-30,2012-12-31,31.84,192,4193367.0,9.33,0.0,0.0,55064423.0,39364679.0
2012-12-31,2013-12-31,3.61,179,2063087.0,3.747,0.0,0.0,54991037.0,40787085.0
2013-12-31,2014-12-31,37.82,172,2211472.0,4.022,0.0,0.0,73577215.0,56212789.0
2014-12-31,2015-12-31,-0.72,167,3145487.0,4.275,816934.0,547346.0,70447909.0,55806981.0
2015-12-31,2016-12-30,3.84,161,2451564.0,3.48,0.0,0.0,70699651.0,57948469.0
2016-12-30,2017-12-29,35.91,156,3096487.0,4.38,0.0,0.0,92994721.0,78760479.0
2017-12-29,2018-12-31,-3.38,151,2933652.0,3.155,3239065.0,2170174.0,89089335.0,76099488.0
2018-12-31,2019-12-31,7.66,149,4111371.0,4.615,0.0,0.0,91803449.0,81929769.0
2019-12-31,2020-12-31,16.67,143,2569607.0,2.799,0.0,0.0,104537440.0,95587429.0
2020-12-31,2021-12-31,30.19,140,6947418.0,6.646,0.0,0.0,129154642.0,124449632.0
2021-12-31,2022-12-30,3.02,133,5974562.0,4.626,0.0,0.0,127078515.0,128206051.0
2022-12-30,2023-12-29,25.76,127,4993362.0,3.929,0.0,0.0,154826361.0,161237763.0
2023-12-29,2024-12-31,15.16,123,5934551.0,3.833,0.0,0.0,172369788.0,185687970.0
2024-12-31,2025-12-31,6.69,119,6737089.0,3.909,0.0,0.0,177158353.0,198104156.0
2025-12-31,2026-08-14,-1.11,114,3333394.0,1.882,2170016.0,1453910.0,173316670.0,195909962.0
