entry_date,exit_date,nifty_entry,nifty_exit,strike,sigma,lots,premium_paid,payout,net_hedge_pnl,put_itm
1999-06-30,1999-09-30,806.1,1025.1,800,,190,,0.0,,False
1999-09-30,1999-12-30,1025.1,1205.0,1000,0.2664,150,343511.16,0.0,-343511.16,False
1999-12-30,2000-03-31,1205.0,1322.9,1200,0.3582,127,606739.19,0.0,-606739.19,False
2000-03-31,2000-06-30,1322.9,1073.7,1300,0.4477,116,718622.37,1706302.0,987679.63,True
2000-06-30,2000-09-29,1073.7,925.4,1100,0.5463,143,1128806.59,1622907.0,494100.41,True
2000-09-29,2000-12-29,925.4,912.85,900,0.366,166,517397.95,0.0,-517397.95,False
2000-12-29,2001-03-30,912.85,754.2,900,0.3279,168,503104.03,1592136.0,1089031.97,True
2001-03-30,2001-06-29,754.2,725.85,800,0.413,203,1071109.39,978409.25,-92700.14,True
2001-06-29,2001-09-28,725.85,583.55,700,0.3297,211,414593.47,1597111.75,1182518.28,True
2001-09-28,2001-12-31,583.55,700.6,600,0.3099,263,679279.86,0.0,-679279.86,False
2001-12-31,2002-03-28,700.6,775.5,700,0.2566,219,425770.68,0.0,-425770.68,False
2002-03-28,2002-06-28,775.5,772.85,800,0.2394,198,558330.24,349420.5,-208909.74,True
2002-06-28,2002-09-30,772.85,691.0,800,0.2324,199,565404.95,1409915.0,844510.05,True
2002-09-30,2002-12-31,691.0,772.85,700,0.167,222,315394.49,0.0,-315394.49,False
2002-12-31,2003-03-31,772.85,701.35,800,0.1609,199,424200.78,1276037.75,851836.97,True
2003-03-31,2003-06-30,701.35,894.5,700,0.1565,219,227089.01,0.0,-227089.01,False
2003-06-30,2003-09-30,894.5,1138.55,900,0.1897,171,326236.45,0.0,-326236.45,False
2003-09-30,2003-12-31,1138.55,1531.35,1100,0.2901,135,350356.13,0.0,-350356.13,False
2003-12-31,2004-03-31,1531.35,1457.5,1500,0.2344,100,298605.33,276250.0,-22355.33,True
2004-03-31,2004-06-30,1457.5,1248.0,1500,0.3617,105,785504.17,1719900.0,934395.83,True
2004-06-30,2004-09-30,1248.0,1478.75,1200,0.5107,123,740250.75,0.0,-740250.75,False
2004-09-30,2004-12-31,1478.75,1804.9,1500,0.1848,104,358122.99,0.0,-358122.99,False
