entry_date,exit_date,nifty_return_pct,lots,premium_paid,premium_pct,payout_gross,payout_net,hedged_portfolio,unhedged_portfolio
1999-09-30,1999-12-30,17.55,150,343511.0,3.435,0.0,0.0,11411440.0,11754951.0
1999-12-30,2000-03-31,9.78,146,697511.0,6.112,0.0,0.0,11830450.0,12905082.0
2000-03-31,2000-06-30,-18.84,138,854913.0,7.226,2029911.0,1360040.0,10107028.0,10474100.0
2000-06-30,2000-09-29,-13.81,145,1144594.0,11.325,1645605.0,1102555.0,8669001.0,9027412.0
2000-09-29,2000-12-29,-1.36,144,448827.0,5.177,0.0,0.0,8102608.0,8904985.0
2000-12-29,2001-03-30,-17.38,137,410269.0,5.063,1298349.0,869894.0,7154029.0,7357331.0
2001-03-30,2001-06-29,-3.76,146,770355.0,10.768,703683.0,471468.0,6586226.0,7080773.0
2001-06-29,2001-09-28,-19.6,140,275086.0,4.177,1059695.0,709996.0,5729932.0,5692615.0
2001-09-28,2001-12-31,20.06,151,390005.0,6.806,0.0,0.0,6489253.0,6834455.0
2001-12-31,2002-03-28,10.69,142,276070.0,4.254,0.0,0.0,6906937.0,7565116.0
2002-03-28,2002-06-28,-0.34,137,386319.0,5.593,241771.0,161986.0,6659002.0,7539264.0
2002-06-28,2002-09-30,-10.59,133,377884.0,5.675,942305.0,631344.0,6207230.0,6740806.0
2002-09-30,2002-12-31,11.85,138,196056.0,3.159,0.0,0.0,6746430.0,7539264.0
2002-12-31,2003-03-31,-9.25,134,285643.0,4.234,859241.0,575692.0,6412335.0,6841772.0
2003-03-31,2003-06-30,27.54,141,146208.0,2.28,0.0,0.0,8032067.0,8725978.0
2003-06-30,2003-09-30,27.28,138,263279.0,3.278,0.0,0.0,9960210.0,11106721.0
2003-09-30,2003-12-31,34.5,135,350356.0,3.518,0.0,0.0,13046128.0,14938543.0
2003-12-31,2004-03-31,-4.82,131,391173.0,2.998,361888.0,242465.0,12268265.0,14218125.0
2004-03-31,2004-06-30,-14.37,129,965048.0,7.866,2113020.0,1415723.0,10955509.0,12174422.0
2004-06-30,2004-09-30,18.49,135,812470.0,7.416,0.0,0.0,12168666.0,14425422.0
2004-09-30,2004-12-31,22.06,127,437323.0,3.594,0.0,0.0,14415239.0,17607063.0
2004-12-31,2005-03-31,-1.78,123,292633.0,2.03,217064.0,145433.0,14012064.0,17294410.0
2005-03-31,2005-06-30,7.52,122,609219.0,4.348,0.0,0.0,14456802.0,18595259.0
2005-06-30,2005-09-30,19.29,117,307033.0,2.124,0.0,0.0,16939200.0,22183202.0
2005-09-30,2005-12-30,8.14,115,611230.0,3.608,0.0,0.0,17707539.0,23989855.0
2005-12-30,2006-03-31,18.35,111,752166.0,4.248,0.0,0.0,20203891.0,28390889.0
2006-03-31,2006-06-30,-11.95,107,391153.0,1.936,2347336.0,1572715.0,18970626.0,24997528.0
2006-06-30,2006-09-29,16.61,114,1864079.0,9.826,0.0,0.0,20258448.0,29150776.0
2006-09-29,2006-12-29,10.27,104,811439.0,4.005,0.0,0.0,21526919.0,32143651.0
2006-12-29,2007-03-30,-4.54,101,687274.0,3.193,1015304.0,680254.0,20541893.0,30683308.0
2007-03-30,2007-06-29,15.27,100,803005.0,3.909,0.0,0.0,22876321.0,35369675.0
2007-06-29,2007-09-28,15.52,97,652499.0,2.852,0.0,0.0,25774753.0,40859862.0
2007-09-28,2007-12-31,27.84,95,1192287.0,4.626,0.0,0.0,31758515.0,52235815.0
2007-12-31,2008-03-31,-28.55,91,2128463.0,6.702,9311127.0,6238455.0,26800957.0,37321676.0
2008-03-31,2008-06-30,-16.27,108,1881552.0,7.02,4188511.0,2806303.0,23364953.0,31249107.0
2008-06-30,2008-09-30,-4.52,112,1475932.0,6.317,1029420.0,689711.0,21522939.0,29837052.0
2008-09-30,2008-12-31,-24.94,108,1827415.0,8.491,5645856.0,3782723.0,18110178.0,22395347.0
2008-12-31,2009-03-31,-0.04,121,1671899.0,9.232,40527.0,27153.0,16458333.0,22386569.0
2009-03-31,2009-06-30,51.2,110,1386613.0,8.425,0.0,0.0,23497572.0,33847384.0
2009-06-30,2009-09-30,18.7,104,2226707.0,9.476,0.0,0.0,25665698.0,40177978.0
2009-09-30,2009-12-31,5.11,96,1249137.0,4.867,0.0,0.0,25727996.0,42230946.0
2009-12-31,2010-03-31,-0.37,91,1106327.0,4.3,0.0,0.0,24527471.0,42076326.0
2010-03-31,2010-06-30,2.49,87,901641.0,3.676,0.0,0.0,24236851.0,43124518.0
2010-06-30,2010-09-30,11.41,84,885817.0,3.655,0.0,0.0,26116722.0,48045494.0
2010-09-30,2010-12-31,0.32,82,1088385.0,4.167,0.0,0.0,25112122.0,48199628.0
2010-12-31,2011-03-31,-6.37,78,682581.0,2.718,1386927.0,929241.0,23760353.0,45131639.0
2011-03-31,2011-06-30,-2.24,79,974636.0,4.102,395681.0,265106.0,22519271.0,44121982.0
2011-06-30,2011-09-30,-12.04,77,741753.0,3.294,2610883.0,1749292.0,20815306.0,38809335.0
2011-09-30,2011-12-30,-9.57,80,1422781.0,6.835,2091724.0,1401455.0,18802625.0,35096531.0
2011-12-30,2012-03-30,17.35,80,1033929.0,5.499,0.0,0.0,21030116.0,41184220.0
2012-03-30,2012-06-29,-1.21,77,881764.0,4.193,146924.0,98439.0,19991997.0,40685246.0
2012-06-29,2012-09-28,8.0,74,799545.0,3.999,0.0,0.0,20792042.0,43940535.0
2012-09-28,2012-12-31,5.31,71,612451.0,2.946,0.0,0.0,21283274.0,46272987.0
2012-12-31,2013-03-28,-6.43,69,496189.0,2.331,1173526.0,786262.0,20204401.0,43296695.0
2013-03-28,2013-06-28,1.63,70,487231.0,2.412,0.0,0.0,20047434.0,44004429.0
2013-06-28,2013-09-30,-2.63,68,655792.0,3.271,477166.0,319701.0,19183147.0,42845029.0
2013-09-30,2013-12-31,11.9,67,1047862.0,5.462,0.0,0.0,20418719.0,47945018.0
2013-12-31,2014-03-31,6.31,64,536080.0,2.625,0.0,0.0,21170532.0,50969108.0
2014-03-31,2014-06-30,18.17,62,846182.0,3.997,0.0,0.0,24171013.0,60230142.0
2014-06-30,2014-09-30,3.91,60,859849.0,3.557,0.0,0.0,24256599.0,62586010.0
2014-09-30,2014-12-31,5.58,58,532806.0,2.197,0.0,0.0,25077136.0,66077857.0
2014-12-31,2015-03-31,3.02,57,734214.0,2.928,0.0,0.0,25100013.0,68072779.0
2015-03-31,2015-06-30,-1.16,55,685279.0,2.73,367542.0,246253.0,24369816.0,67283103.0
2015-06-30,2015-09-30,-3.64,54,770475.0,3.162,891220.0,597117.0,23309250.0,64833590.0
2015-09-30,2015-12-31,1.18,54,809744.0,3.474,0.0,0.0,22775347.0,65600831.0
2015-12-31,2016-03-31,-4.05,52,525832.0,2.309,837761.0,561300.0,21887575.0,62941582.0
2016-03-31,2016-06-30,8.19,52,747126.0,3.413,0.0,0.0,22933783.0,68098630.0
2016-06-30,2016-09-30,5.93,51,727121.0,3.171,0.0,0.0,23566927.0,72137746.0
2016-09-30,2016-12-30,-5.57,49,766106.0,3.251,1328812.0,890304.0,22377947.0,68118140.0
2016-12-30,2017-03-31,14.5,49,654143.0,2.923,0.0,0.0,24967787.0,77992777.0
2017-03-31,2017-06-30,4.21,48,540378.0,2.164,0.0,0.0,25478422.0,81275864.0
2017-06-30,2017-09-29,3.22,47,466351.0,1.83,0.0,0.0,25832850.0,83894140.0
2017-09-29,2017-12-29,10.36,46,554415.0,2.146,0.0,0.0,27953789.0,92582555.0
2017-12-29,2018-03-28,-6.1,45,621391.0,2.223,1719643.0,1152161.0,26780494.0,86938717.0
2018-03-28,2018-06-29,2.81,46,756314.0,2.824,0.0,0.0,26776474.0,89380924.0
2018-06-29,2018-09-28,-0.51,45,652673.0,2.437,245734.0,164642.0,26152696.0,88927795.0
2018-09-28,2018-12-31,0.59,44,808859.0,3.093,0.0,0.0,25498757.0,89454573.0
2018-12-31,2019-03-28,4.71,43,794360.0,3.115,0.0,0.0,25905507.0,93668301.0
2019-03-28,2019-06-28,0.58,42,810382.0,3.128,0.0,0.0,25246210.0,94214589.0
2019-06-28,2019-09-30,-3.28,40,730134.0,2.892,933692.0,625574.0,24312870.0,91121722.0
2019-09-30,2019-12-31,5.69,40,663853.0,2.73,0.0,0.0,25032818.0,96308039.0
2019-12-31,2020-03-31,-29.13,39,522610.0,2.088,7359762.0,4931041.0,22149375.0,68254226.0
2020-03-31,2020-06-30,21.12,49,3132428.0,14.142,0.0,0.0,23695961.0,82672803.0
2020-06-30,2020-09-30,10.23,43,1445837.0,6.102,0.0,0.0,24674158.0,91130010.0
2020-09-30,2020-12-31,23.3,41,885522.0,3.589,0.0,0.0,29537511.0,112362552.0
2020-12-31,2021-03-31,6.91,39,1180938.0,3.998,0.0,0.0,30396294.0,120121779.0
2021-03-31,2021-06-30,9.42,38,1205494.0,3.966,0.0,0.0,32053883.0,131436272.0
2021-06-30,2021-09-30,11.72,37,766920.0,2.393,0.0,0.0,35043680.0,146840609.0
2021-09-30,2021-12-31,-0.38,36,1283749.0,3.663,242937.0,162768.0,33791278.0,146289929.0
2021-12-31,2022-03-31,-0.68,35,1028186.0,3.043,240057.0,160838.0,32694766.0,145297829.0
2022-03-31,2022-06-30,-10.12,34,1320393.0,4.039,3342554.0,2239511.0,30305993.0,130597329.0
2022-06-30,2022-09-30,10.77,35,1319073.0,4.353,0.0,0.0,32250787.0,144662278.0
2022-09-30,2022-12-30,4.18,33,1198779.0,3.717,0.0,0.0,32399293.0,150705581.0
2022-12-30,2023-03-31,-5.77,32,822517.0,2.539,1751673.0,1173621.0,30881834.0,142013946.0
2023-03-31,2023-06-30,12.86,33,743898.0,2.409,0.0,0.0,34109363.0,160277046.0
2023-06-30,2023-09-29,5.25,32,582083.0,1.707,0.0,0.0,35318073.0,168691831.0
2023-09-29,2023-12-29,12.36,31,675791.0,1.913,0.0,0.0,39005932.0,189534196.0
2023-12-29,2024-03-28,4.25,31,996997.0,2.556,0.0,0.0,39667211.0,197591946.0
2024-03-28,2024-06-28,11.38,30,919316.0,2.318,0.0,0.0,43261070.0,220073156.0
2024-06-28,2024-09-30,7.47,30,1112878.0,2.572,0.0,0.0,45380350.0,236515454.0
2024-09-30,2024-12-31,-7.71,29,980788.0,2.161,3439370.0,2304378.0,43204190.0,218275294.0
2024-12-31,2025-03-28,-4.63,30,1155257.0,2.674,2067876.0,1385477.0,41434310.0,208170430.0
2025-03-28,2025-06-30,10.67,30,886663.0,2.14,0.0,0.0,44970083.0,230389223.0
2025-06-30,2025-09-30,-3.74,29,976375.0,2.171,1632222.0,1093589.0,43405765.0,221774457.0
2025-09-30,2025-12-31,5.0,29,761162.0,1.754,0.0,0.0,44816316.0,232870459.0
2025-12-31,2026-03-30,-14.01,29,687910.0,1.535,6356124.0,4258603.0,42109941.0,200254129.0
2026-03-30,2026-06-30,12.02,32,2395085.0,5.688,0.0,0.0,44776733.0,224325923.0
2026-06-30,2026-08-14,2.66,30,1082981.0,2.419,0.0,0.0,44884455.0,230291195.0
