nse_ticker,tji_sectors,is_financial
3MINDIA,,FALSE
63MOONS,TJI IT Small Cap,FALSE
8KMILES,,FALSE
AARTIDRUGS,TJI Pharma,FALSE
AARTIIND,TJI Agro Chemicals,FALSE
AAVAS,TJI Home Finance,TRUE
ABB,,FALSE
ABBOTINDIA,TJI Pharma,FALSE
ABCAPITAL,TJI Asset Management,TRUE
ABREL,TJI Cement,FALSE
ACC,TJI Cement,FALSE
ACCELYA,TJI IT Small Cap,FALSE
ACMESOLAR,,FALSE
ACUTAAS,TJI Pharma - API & CRAMS,FALSE
ADANIENSOL,,FALSE
ADANIENT,,FALSE
ADANIPOWER,,FALSE
ADLABS,,FALSE
ADOR,,FALSE
ADVENZYMES,TJI Pharma,FALSE
AEGISLOG,TJI Logistics,FALSE
AFCONS,TJI Infrastructure,FALSE
AFFLE,TJI IT - Product/Platform,FALSE
AGUL,,FALSE
AHLUCONT,TJI Infrastructure,FALSE
AIAENG,,FALSE
AKSHOPTFBR,TJI Communication Equipment,FALSE
AKZOINDIA,,FALSE
ALEMBICLTD,TJI Pharma,FALSE
ALKEM,TJI Pharma,FALSE
ALLCARGO,TJI Logistics,FALSE
ALSTOMT&D,,FALSE
AMBER,TJI Electrical Appliances,FALSE
AMBUJACEM,TJI Cement,FALSE
ANANTRAJ,TJI Real Estate,FALSE
ANDHRSUGAR,TJI Alkali Chemicals,FALSE
ANSALAPI,,FALSE
ANTHEM,,FALSE
APARINDS,,FALSE
APLAPOLLO,TJI Metal Pipes,FALSE
APLLTD,TJI Pharma,FALSE
APOLLOHOSP,TJI Diagnostic Chains,FALSE
APOLLOTYRE,TJI Auto Ancillary,FALSE
APTECHT,,FALSE
ARCHIES,,FALSE
ARVIND,TJI Textiles,FALSE
ASAHIINDIA,TJI Glass Products,FALSE
ASHIANA,TJI Real Estate,FALSE
ASHOKLEY,TJI Auto OEM,FALSE
ASIANHOTNR,,FALSE
ASIANPAINT,TJI Paint Manufacturers,FALSE
ASTERDM,TJI Hospitals,FALSE
ATGL,TJI City Gas,FALSE
ATLASCYCLE,,FALSE
ATUL,TJI Chemicals,FALSE
ATULAUTO,TJI Auto OEM,FALSE
AUBANK,MANUAL_FINANCIAL,TRUE
AUTOAXLES,TJI Auto Ancillary,FALSE
AVANTIFEED,TJI Packaged Meat,FALSE
AWFIS,,FALSE
AXISBANK,TJI Banks,TRUE
AZAD,,FALSE
BAJAJ,TJI Holding Companies,FALSE
BAJAJ-AUTO,TJI Auto OEM,FALSE
BAJAJHIND,TJI Sugar,FALSE
BAJAJHLDNG,TJI Holding Companies,FALSE
BAJFINANCE,TJI NBFC - Deposit Taking,TRUE
BALAJI,TJI Chemicals,FALSE
BALAJITELE,TJI Media & Entertainment,FALSE
BALAMINES,TJI Chemicals,FALSE
BALMLAWRIE,TJI Packaging and Containers,FALSE
BALRAMCHIN,TJI Sugar,FALSE
BANARISUG,TJI Sugar,FALSE
BANCOINDIA,TJI Auto Ancillary,FALSE
BANKBARODA,TJI Banks,TRUE
BANKINDIA,TJI Banks,TRUE
BASF,TJI Agro Chemicals,FALSE
BATAINDIA,,FALSE
BAYERCROP,,FALSE
BBTC,TJI FMCG,FALSE
BCG,,FALSE
BDL,TJI Defence,FALSE
BEL,TJI Defence,FALSE
BEML,TJI Defence,FALSE
BEPL,TJI Chemicals,FALSE
BERGEPAINT,TJI Paint Manufacturers,FALSE
BFUTILITIE,,FALSE
BGRENERGY,TJI Infrastructure,FALSE
BHARATFORG,TJI Auto Ancillary,FALSE
BHARATRAS,TJI Chemicals,FALSE
BHARTIARTL,TJI Telecom,FALSE
BHEL,TJI PSU,FALSE
BI,TJI Packaging and Containers,FALSE
BIOCON,TJI Pharma,FALSE
BIRLACORPN,TJI Cement,FALSE
BIRLAMONEY,MANUAL_FINANCIAL,TRUE
BLISSGVS,TJI Pharma,FALSE
BLKASHYAP,TJI Real Estate,FALSE
BLUEDART,TJI Logistics,FALSE
BLUEJET,TJI Pharma - API & CRAMS,FALSE
BLUESTARCO,TJI Electrical Appliances,FALSE
BOMDYEING,TJI Textiles,FALSE
BOSCH-HCIL,,FALSE
BOSCHLTD,TJI Auto Ancillary,FALSE
BPCL,TJI Oil Refiners,FALSE
BRIGADE,TJI Real Estate,FALSE
BRITANNIA,TJI FMCG,FALSE
BSE,,FALSE
BSOFT,TJI IT Small Cap,FALSE
CAMLINFINE,TJI Chemicals,FALSE
CANBK,TJI Banks,TRUE
CANFINHOME,TJI Home Finance,TRUE
CARTRADE,TJI IT - Product/Platform,FALSE
CASTROLIND,,FALSE
CCAVENUE,TJI IT - Product/Platform,FALSE
CCL,,FALSE
CDSL,,FALSE
CEATLTD,TJI Auto Ancillary,FALSE
CELLO,,FALSE
CEMPRO,TJI Infrastructure,FALSE
CENTENKA,TJI Textiles,FALSE
CENTRALBK,TJI Banks,TRUE
CENTURYTEX,,FALSE
CERA,TJI Tiles,FALSE
CESC,TJI Retail Chains,FALSE
CGCL,MANUAL_FINANCIAL,TRUE
CGPOWER,,FALSE
CHALET,,FALSE
CHAMBLFERT,TJI Chemicals,FALSE
CHEMPLASTS,,FALSE
CHENNPETRO,TJI Oil Refiners,FALSE
CHOLAFIN,TJI Auto Ancillary,TRUE
CHOLAHLDNG,MANUAL_FINANCIAL,TRUE
CINEVISTA,,FALSE
CIPLA,TJI Pharma,FALSE
COALINDIA,TJI PSU,FALSE
COCHINSHIP,TJI Defence,FALSE
COFFEEDAY,TJI QSR,FALSE
COFORGE,TJI IT Mid Cap,FALSE
COLPAL,TJI FMCG,FALSE
CONCOR,TJI Logistics,FALSE
CONSOFINVT,MANUAL_FINANCIAL,TRUE
COROMANDEL,TJI Chemicals,FALSE
CREDITACC,TJI Microfinance,TRUE
CRISIL,TJI Rating Agencies,FALSE
CROMPTON,TJI Electrical Appliances,FALSE
CSBBANK,MANUAL_FINANCIAL,TRUE
CUB,TJI Banks,TRUE
CUMMINSIND,,FALSE
CYBERTECH,,FALSE
DABUR,TJI FMCG,FALSE
DALMIASUG,TJI Cement,FALSE
DATAPATTNS,TJI Defence,FALSE
DBCORP,,FALSE
DBL,TJI Infrastructure,FALSE
DBREALTY,,FALSE
DCAL,TJI Pharma,FALSE
DCW,TJI Alkali Chemicals,FALSE
DEEPAKFERT,TJI Chemicals,FALSE
DEEPAKNTR,TJI Chemicals,FALSE
DELTACORP,TJI Hospitality,FALSE
DEN,,FALSE
DEVYANI,TJI QSR,FALSE
DHAMPURSUG,TJI Sugar,FALSE
DHANBANK,MANUAL_FINANCIAL,TRUE
DHANLAXMI,MANUAL_FINANCIAL,TRUE
DHANUKA,TJI Chemicals,FALSE
DHUNINV,,FALSE
DICIND,,FALSE
DIGJAMLMTD,,FALSE
DISHTV,,FALSE
DLF,TJI Real Estate,FALSE
DMART,TJI Retail Chains,FALSE
DREDGECORP,TJI PSU,FALSE
DRREDDY,TJI Pharma,FALSE
DYNAMATECH,TJI Auto Ancillary,FALSE
ECLERX,TJI IT Small Cap,FALSE
EICHERMOT,TJI Auto OEM,FALSE
EIDPARRY,TJI Sugar,FALSE
EIHOTEL,TJI Hospitality,FALSE
ELCIDIN,,FALSE
ELECON,,FALSE
ELECTCAST,TJI Metal Pipes,FALSE
ELGIEQUIP,,FALSE
ELGIRUBCO,TJI Chemicals,FALSE
ENDURANCE,TJI Auto Ancillary,FALSE
ENERGY,,FALSE
ENGINERSIN,TJI Infrastructure,FALSE
EQUITAS,TJI NBFC - Deposit Taking,TRUE
EQUITASBNK,TJI Holding Companies,TRUE
ERIS,TJI Pharma,FALSE
ESABINDIA,,FALSE
ESCORTS,,FALSE
EXCEL,,FALSE
EXCELINDUS,TJI Chemicals,FALSE
EXIDEIND,TJI Batteries,FALSE
FACT,TJI Chemicals,FALSE
FDC,TJI Pharma,FALSE
FEDERALBNK,TJI Banks,TRUE
FEL,,FALSE
FINCABLES,TJI Electrical Appliances,FALSE
FINEORG,TJI Chemicals,FALSE
FIRSTCRY,,FALSE
FLEXITUFF,TJI Packaging and Containers,FALSE
FLFL,,FALSE
FLUOROCHEM,TJI Chemicals,FALSE
