nse_ticker,company_name,tijori_slug,match_confidence
3MINDIA,3M India Ltd.,3m-india-limited,HIGH
63MOONS,63 Moons Technologies Ltd.,63-moons-technologies-limited,HIGH
8KMILES,SecureKloud Technologies Ltd,securekloud-technologies-limited,HIGH
AARTIDRUGS,Aarti Drugs Ltd.,aarti-drugs-limited,HIGH
AARTIIND,Aarti Industries Ltd.,aarti-industries-limited,HIGH
AAVAS,Aavas Financiers Ltd.,aavas-financiers-limited,HIGH
ABB,ABB India Ltd.,abb-india-limited,HIGH
ABBOTINDIA,Abbott India Ltd.,abbott-india-limited,HIGH
ABCAPITAL,Aditya Birla Capital Ltd.,aditya-birla-capital-limited,HIGH
ABREL,Aditya Birla Real Estate (was Century Textiles),century-textiles-industries-limited,HIGH
ACC,ACC Ltd.,acc-limited,HIGH
ACCELYA,Accelya Solutions India Ltd.,accelya-kale-solutions-limited,HIGH
ACMESOLAR,Acme Solar Holdings Ltd.,acme-solar-holdings-ltd,HIGH
ACUTAAS,Acutaas Chemicals Ltd.,ami-organics-ltd,HIGH
ADANIENSOL,Adani Energy Solutions Ltd.,adani-transmission-limited,HIGH
ADANIENT,Adani Enterprises Ltd.,adani-enterprises-limited,HIGH
ADANIPOWER,Adani Power Ltd.,adani-power-limited,HIGH
ADLABS,Imagicaaworld Entertainment Ltd,imagicaaworld-entertainment-limited,HIGH
ADOR,Ador Welding Ltd.,ador-welding-limited,HIGH
ADVENZYMES,Advanced Enzyme Technologies Ltd.,advanced-enzyme-technologies-limited,HIGH
AEGISLOG,Aegis Logistics Ltd.,aegis-logistics-limited,HIGH
AFCONS,Afcons Infrastructure Ltd.,afcons-infrastructure-ltd,HIGH
AFFLE,Affle (India) Ltd.,affle-india,HIGH
AGUL,A G Universal Ltd,a-g-universal-limited,HIGH
AHLUCONT,Ahluwalia Contracts (India) Ltd.,ahluwalia-contracts-india-limited,HIGH
AIAENG,AIA Engineering Ltd.,aia-engineering-limited,HIGH
AKSHOPTFBR,Aksh Optifibre Ltd.,aksh-optifibre-limited,HIGH
AKZOINDIA,JSW Dulux Ltd (formerly Akzo Nobel India Ltd),jsw-dulux-limited,HIGH
ALEMBICLTD,Alembic Ltd.,alembic-limited,HIGH
ALKEM,Alkem Laboratories Ltd.,alkem-laboratories-limited,HIGH
ALLCARGO,Allcargo Logistics Ltd.,allcargo-logistics-limited,HIGH
ALSTOMT&D,GE Vernova T&D India Ltd,ge-vernova-tandd-india-limited,HIGH
AMBER,Amber Enterprises India Ltd.,amber-enterprises-india-limited,HIGH
AMBUJACEM,Ambuja Cements Ltd.,ambuja-cements-limited,HIGH
ANANTRAJ,Anant Raj Ltd.,anant-raj-limited,HIGH
ANDHRSUGAR,The Andhra Sugars Ltd.,the-andhra-sugars-limited,HIGH
ANSALAPI,Ansal Properties & Infrastructure Ltd.,ansal-properties-and-infrastructure-limited,HIGH
ANTHEM,Anthem Biosciences Ltd.,anthem-biosciences-ltd,HIGH
APARINDS,Apar Industries Ltd.,apar-industries-limited,HIGH
APLAPOLLO,APL Apollo Tubes Ltd.,apl-apollo-tubes-limited,HIGH
APLLTD,Alembic Pharmaceuticals Ltd.,alembic-pharmaceuticals-limited,HIGH
APOLLOHOSP,Apollo Hospitals Enterprise Ltd.,apollo-hospitals-enterprise-limited,HIGH
APOLLOTYRE,Apollo Tyres Ltd.,apollo-tyres-limited,HIGH
APTECHT,Aptech Ltd.,aptech-limited,HIGH
ARCHIES,Archies Ltd.,archies-limited,HIGH
ARVIND,Arvind Ltd.,arvind-limited,HIGH
ASAHIINDIA,Asahi India Glass Ltd.,asahi-india-glass-limited,HIGH
ASHIANA,Ashiana Housing Ltd.,ashiana-housing-limited,HIGH
ASHOKLEY,Ashok Leyland Ltd.,ashok-leyland-limited,HIGH
ASIANHOTNR,Asian Hotels (North) Ltd.,asian-hotels-north-limited,HIGH
ASIANPAINT,Asian Paints Ltd.,asian-paints-limited,HIGH
ASTERDM,Aster DM Healthcare Ltd.,aster-dm-healthcare-limited,HIGH
ATGL,Adani Total Gas Ltd.,adani-total-gas-limited,HIGH
ATLASCYCLE,Atlas Cycles (Haryana) Ltd.,atlas-cycles-haryana-limited,HIGH
ATUL,Atul Ltd.,atul-limited,HIGH
ATULAUTO,Atul Auto Ltd.,atul-auto-limited,HIGH
