date,regime,method,ticker,composite_score,monthly_return
2024-07,Bull,erc,COALINDIA,0.8898,1.5325
2024-07,Bull,erc,IOC,0.8105,-2.5871
2024-07,Bull,erc,RECLTD,0.8088,-3.2224
2024-07,Bull,erc,HINDZINC,0.7946,-19.7212
2024-07,Bull,erc,HINDPETRO,0.7842,9.94
2024-07,Bull,erc,INDUSTOWER,0.7698,5.8525
2024-07,Bull,erc,BPCL,0.7691,5.4438
2024-07,Bull,erc,MAHABANK,0.7672,-6.5282
2024-07,Bull,erc,ADANIPOWER,0.7671,-13.9424
2024-07,Bull,erc,INDIGO,0.7631,8.0005
2024-07,Bull,erc,NMDC,0.7558,-7.8432
2024-07,Bull,erc,CHENNPETRO,0.7333,-2.1616
2024-07,Bull,erc,BEL,0.7311,-5.0433
2024-07,Bull,erc,GODFRYPHLP,0.731,55.4655
2024-07,Bull,erc,SOLARINDS,0.7291,-0.5045
2024-07,Bull,erc,BAJAJ-AUTO,0.7119,12.7
2024-07,Bull,erc,OFSS,0.7093,-0.5084
2024-07,Bull,erc,MRPL,0.7029,-5.0147
2024-07,Bull,erc,ONGC,0.6973,-0.2636
2024-07,Bull,erc,HAL,0.693,-4.6725
2024-08,Bull,erc,COALINDIA,0.8902,-2.8193
2024-08,Bull,erc,IOC,0.8224,1.7969
2024-08,Bull,erc,HINDZINC,0.8117,4.3435
2024-08,Bull,erc,HINDPETRO,0.8048,5.1307
2024-08,Bull,erc,RECLTD,0.8005,-10.5284
2024-08,Bull,erc,INDUSTOWER,0.7807,-14.3839
2024-08,Bull,erc,BPCL,0.7781,3.4391
2024-08,Bull,erc,INDIGO,0.7652,-0.8809
2024-08,Bull,erc,NMDC,0.7569,10.751
2024-08,Bull,erc,ADANIPOWER,0.7537,3.813
2024-08,Bull,erc,BEL,0.7409,-4.7444
2024-08,Bull,erc,OFSS,0.7393,4.2771
2024-08,Bull,erc,CHENNPETRO,0.7393,-4.1983
2024-08,Bull,erc,MAHABANK,0.7336,-3.6439
2024-08,Bull,erc,GODFRYPHLP,0.7298,7.2092
2024-08,Bull,erc,PETRONET,0.7287,-7.0106
2024-08,Bull,erc,SOLARINDS,0.7167,7.4643
2024-08,Bull,erc,BAJAJ-AUTO,0.716,13.3535
2024-08,Bull,erc,MRPL,0.7123,-12.1474
2024-08,Bull,erc,ONGC,0.7077,-10.0227
2024-09,Bull,erc,COALINDIA,0.8589,-11.3888
2024-09,Bull,erc,IOC,0.8436,-20.8326
2024-09,Bull,erc,HINDPETRO,0.8232,-13.5399
2024-09,Bull,erc,HINDZINC,0.8095,5.8756
2024-09,Bull,erc,BPCL,0.808,-16.0022
2024-09,Bull,erc,RECLTD,0.7991,-5.7529
2024-09,Bull,erc,INDUSTOWER,0.7846,-13.2467
2024-09,Bull,erc,INDIGO,0.7807,-15.3516
2024-09,Bull,erc,BEL,0.7408,-0.0702
2024-09,Bull,erc,OFSS,0.7379,-4.9936
2024-09,Bull,erc,SOLARINDS,0.7302,-11.2738
2024-09,Bull,erc,ADANIPOWER,0.7302,-9.67
2024-09,Bull,erc,GODFRYPHLP,0.7271,-5.0512
2024-09,Bull,erc,ONGC,0.7182,-10.5679
2024-09,Bull,erc,PETRONET,0.7168,-2.5033
2024-09,Bull,erc,CHENNPETRO,0.7163,-31.5426
2024-09,Bull,erc,NMDC,0.7151,-9.4075
2024-09,Bull,erc,MRPL,0.7106,-18.8934
2024-09,Bull,erc,BASF,0.7071,3.6959
2024-09,Bull,erc,HAL,0.7057,-3.9349
2024-10,Bull,erc,COALINDIA,0.8396,-4.493
2024-10,Bull,erc,IOC,0.8208,-2.7976
2024-10,Bull,erc,HINDPETRO,0.8157,0.5776
2024-10,Bull,erc,BPCL,0.795,-6.0016
2024-10,Bull,erc,RECLTD,0.7896,2.6905
2024-10,Bull,erc,INDIGO,0.7752,8.0543
2024-10,Bull,erc,INDUSTOWER,0.7719,2.5841
2024-10,Bull,erc,HINDZINC,0.7643,-8.7853
2024-10,Bull,erc,GODFRYPHLP,0.7569,-13.8563
2024-10,Bull,erc,PETRONET,0.7529,2.0913
2024-10,Bull,erc,OFSS,0.7334,7.44
2024-10,Bull,erc,BEL,0.7313,8.1081
2024-10,Bull,erc,NATCOPHARM,0.7188,-1.848
2024-10,Bull,erc,TCS,0.7171,7.6201
2024-10,Bull,erc,ONGC,0.7158,-1.1852
2024-10,Bull,erc,INFY,0.709,5.7249
2024-10,Bull,erc,TORNTPHARM,0.705,3.7953
2024-10,Bull,erc,HAL,0.7026,5.4195
2024-10,Bull,erc,BAJAJ-AUTO,0.7026,-8.1601
2024-10,Bull,erc,BASF,0.7024,-21.4339
2024-11,Bull,erc,COALINDIA,0.8263,-7.745
2024-11,Bull,erc,HINDPETRO,0.798,6.6954
2024-11,Bull,erc,HINDZINC,0.7962,-12.0095
2024-11,Bull,erc,IOC,0.7933,-1.6014
2024-11,Bull,erc,BPCL,0.7768,0.1198
2024-11,Bull,erc,INDIGO,0.7672,4.0044
2024-11,Bull,erc,INDUSTOWER,0.7671,-2.1612
2024-11,Bull,erc,GODFRYPHLP,0.751,-7.8519
2024-11,Bull,erc,RECLTD,0.7488,-5.9895
2024-11,Bull,erc,PETRONET,0.7425,3.9327
