date,regime,method,ticker,composite_score,monthly_return
2024-07,Bull,mvo_sample,COCHINSHIP,0.9478,-27.9946
2024-07,Bull,mvo_sample,IRCON,0.9418,-9.5758
2024-07,Bull,mvo_sample,SOLARINDS,0.9413,-0.5045
2024-07,Bull,mvo_sample,SJVN,0.9341,-10.1839
2024-07,Bull,mvo_sample,RECLTD,0.9148,-3.2224
2024-07,Bull,mvo_sample,NETWEB,0.9093,17.9898
2024-07,Bull,mvo_sample,COALINDIA,0.9088,1.5325
2024-07,Bull,mvo_sample,ITI,0.9067,-1.4233
2024-07,Bull,mvo_sample,MCX,0.9058,20.8197
2024-07,Bull,mvo_sample,IFCI,0.9054,-14.199
2024-07,Bull,mvo_sample,BEL,0.9037,-5.0433
2024-07,Bull,mvo_sample,TRENT,0.9024,22.6023
2024-07,Bull,mvo_sample,BSE,0.899,10.804
2024-07,Bull,mvo_sample,ADANIPOWER,0.8982,-13.9424
2024-07,Bull,mvo_sample,HAL,0.8968,-4.6725
2024-07,Bull,mvo_sample,HINDZINC,0.8968,-19.7212
2024-07,Bull,mvo_sample,IOB,0.896,-8.8905
2024-07,Bull,mvo_sample,NMDC,0.8951,-7.8432
2024-07,Bull,mvo_sample,TORNTPOWER,0.8925,-6.5874
2024-07,Bull,mvo_sample,RVNL,0.8866,0.9809
2024-08,Bull,mvo_sample,MCX,0.9502,9.357
2024-08,Bull,mvo_sample,COCHINSHIP,0.9469,-7.6419
2024-08,Bull,mvo_sample,OFSS,0.9394,4.2771
2024-08,Bull,mvo_sample,TATAINVEST,0.9375,-6.5251
2024-08,Bull,mvo_sample,NETWEB,0.9307,-7.4115
2024-08,Bull,mvo_sample,BEL,0.9244,-4.7444
2024-08,Bull,mvo_sample,HAL,0.9238,-5.5407
2024-08,Bull,mvo_sample,TORNTPOWER,0.9192,7.7144
2024-08,Bull,mvo_sample,TRENT,0.919,5.8097
2024-08,Bull,mvo_sample,IRCON,0.9173,-12.2512
2024-08,Bull,mvo_sample,ITI,0.9137,-15.8819
2024-08,Bull,mvo_sample,BDL,0.9082,-10.902
2024-08,Bull,mvo_sample,IFCI,0.905,-11.7843
2024-08,Bull,mvo_sample,PRESTIGE,0.9002,1.868
2024-08,Bull,mvo_sample,HINDZINC,0.8993,4.3435
2024-08,Bull,mvo_sample,COALINDIA,0.8957,-2.8193
2024-08,Bull,mvo_sample,CHENNPETRO,0.8911,-4.1983
2024-08,Bull,mvo_sample,RVNL,0.8897,-12.1636
2024-08,Bull,mvo_sample,SJVN,0.8884,-0.1375
2024-08,Bull,mvo_sample,AEGISLOG,0.8879,1.5081
2024-09,Bull,mvo_sample,BASF,0.9518,3.6959
2024-09,Bull,mvo_sample,OFSS,0.9464,-4.9936
2024-09,Bull,mvo_sample,COCHINSHIP,0.9446,-13.9713
2024-09,Bull,mvo_sample,TORNTPOWER,0.9423,-2.9952
2024-09,Bull,mvo_sample,SOLARINDS,0.9297,-11.2738
2024-09,Bull,mvo_sample,BEL,0.9206,-0.0702
2024-09,Bull,mvo_sample,TRENT,0.9197,-5.892
2024-09,Bull,mvo_sample,NETWEB,0.9167,7.0662
2024-09,Bull,mvo_sample,HAL,0.9141,-3.9349
2024-09,Bull,mvo_sample,INDUSTOWER,0.9082,-13.2467
2024-09,Bull,mvo_sample,BDL,0.9066,-6.4396
2024-09,Bull,mvo_sample,HINDPETRO,0.906,-13.5399
2024-09,Bull,mvo_sample,HINDZINC,0.9032,5.8756
2024-09,Bull,mvo_sample,MCX,0.8995,15.1158
2024-09,Bull,mvo_sample,IFCI,0.8979,-12.6172
2024-09,Bull,mvo_sample,PRESTIGE,0.8947,-11.3155
2024-09,Bull,mvo_sample,AEGISLOG,0.8945,4.7974
2024-09,Bull,mvo_sample,IOC,0.8865,-20.8326
2024-09,Bull,mvo_sample,RVNL,0.8832,-11.224
2024-09,Bull,mvo_sample,RECLTD,0.8824,-5.7529
2024-10,Bull,mvo_sample,GODFRYPHLP,0.9705,-13.8563
2024-10,Bull,mvo_sample,BASF,0.955,-21.4339
2024-10,Bull,mvo_sample,OFSS,0.9511,7.44
2024-10,Bull,mvo_sample,COCHINSHIP,0.9363,5.6748
