date,regime,method,ticker,composite_score,monthly_return
2024-07,Bull,sharpe_erc,COALINDIA,0.8891,1.5325
2024-07,Bull,sharpe_erc,RECLTD,0.8128,-3.2224
2024-07,Bull,sharpe_erc,HINDZINC,0.801,-19.7212
2024-07,Bull,sharpe_erc,IOC,0.7994,-2.5871
2024-07,Bull,sharpe_erc,NMDC,0.795,-7.8432
2024-07,Bull,sharpe_erc,HINDPETRO,0.7916,9.94
2024-07,Bull,sharpe_erc,MAHABANK,0.7826,-6.5282
2024-07,Bull,sharpe_erc,ADANIPOWER,0.7819,-13.9424
2024-07,Bull,sharpe_erc,GODFRYPHLP,0.7816,55.4655
2024-07,Bull,sharpe_erc,INDUSTOWER,0.7789,5.8525
2024-07,Bull,sharpe_erc,CHENNPETRO,0.7716,-2.1616
2024-07,Bull,sharpe_erc,BPCL,0.7635,5.4438
2024-07,Bull,sharpe_erc,SOLARINDS,0.7595,-0.5045
2024-07,Bull,sharpe_erc,BEL,0.7464,-5.0433
2024-07,Bull,sharpe_erc,INDIGO,0.7449,8.0005
2024-07,Bull,sharpe_erc,MRPL,0.728,-5.0147
2024-07,Bull,sharpe_erc,OFSS,0.7247,-0.5084
2024-07,Bull,sharpe_erc,GLAXO,0.7201,0.531
2024-07,Bull,sharpe_erc,TORNTPOWER,0.7105,-6.5874
2024-07,Bull,sharpe_erc,IRCON,0.7095,-9.5758
2024-08,Bull,sharpe_erc,COALINDIA,0.8879,-2.8193
2024-08,Bull,sharpe_erc,HINDZINC,0.8175,4.3435
2024-08,Bull,sharpe_erc,IOC,0.8135,1.7969
2024-08,Bull,sharpe_erc,HINDPETRO,0.8102,5.1307
2024-08,Bull,sharpe_erc,RECLTD,0.7999,-10.5284
2024-08,Bull,sharpe_erc,INDUSTOWER,0.791,-14.3839
2024-08,Bull,sharpe_erc,NMDC,0.7883,10.751
2024-08,Bull,sharpe_erc,CHENNPETRO,0.778,-4.1983
2024-08,Bull,sharpe_erc,GODFRYPHLP,0.7733,7.2092
