date,regime,portfolio_return,n_stocks,stocks
2024-07,Bull,1.3461,20,"COALINDIA,IOC,RECLTD,HINDZINC,HINDPETRO,INDUSTOWER,BPCL,MAHABANK,ADANIPOWER,INDIGO,NMDC,CHENNPETRO,BEL,GODFRYPHLP,SOLARINDS,BAJAJ-AUTO,OFSS,MRPL,ONGC,HAL"
2024-08,Bull,-0.4401,20,"COALINDIA,IOC,HINDZINC,HINDPETRO,RECLTD,INDUSTOWER,BPCL,INDIGO,NMDC,ADANIPOWER,BEL,OFSS,CHENNPETRO,MAHABANK,GODFRYPHLP,PETRONET,SOLARINDS,BAJAJ-AUTO,MRPL,ONGC"
2024-09,Bull,-9.7226,20,"COALINDIA,IOC,HINDPETRO,HINDZINC,BPCL,RECLTD,INDUSTOWER,INDIGO,BEL,OFSS,SOLARINDS,ADANIPOWER,GODFRYPHLP,ONGC,PETRONET,CHENNPETRO,NMDC,MRPL,BASF,HAL"
2024-10,Bull,-0.7228,20,"COALINDIA,IOC,HINDPETRO,BPCL,RECLTD,INDIGO,INDUSTOWER,HINDZINC,GODFRYPHLP,PETRONET,OFSS,BEL,NATCOPHARM,TCS,ONGC,INFY,TORNTPHARM,HAL,BAJAJ-AUTO,BASF"
2024-11,Bull,-2.2212,20,"COALINDIA,HINDPETRO,HINDZINC,IOC,BPCL,INDIGO,INDUSTOWER,GODFRYPHLP,RECLTD,PETRONET,OFSS,BEL,BAJAJ-AUTO,NATCOPHARM,BASF,ONGC,SOLARINDS,TORNTPHARM,TCS,INFY"
2024-12,Bull,-7.5029,20,"HINDZINC,COALINDIA,HINDPETRO,INDUSTOWER,BPCL,PETRONET,GODFRYPHLP,INDIGO,GILLETTE,OFSS,NATCOPHARM,RECLTD,IOC,BASF,BEL,INFY,BOSCHLTD,HCLTECH,SIEMENS,ONGC"
2025-01,Choppy,-7.8044,20,"HINDZINC,COALINDIA,INDIGO,HINDPETRO,INDUSTOWER,TCS,GILLETTE,BPCL,INFY,ITC,BEL,COROMANDEL,GODFRYPHLP,PETRONET,IOC,WIPRO,ICICIBANK,ICICI,OFSS,HDFCBANK"
2025-02,Choppy,9.5344,20,"HINDZINC,INDIGO,ITC,COALINDIA,HINDPETRO,INDUSTOWER,INFY,GILLETTE,TCS,HDFCBANK,GODFRYPHLP,PETRONET,COROMANDEL,RECLTD,BEL,OFSS,WIPRO,HCLTECH,ICICIBANK,ICICI"
2025-03,Choppy,4.6169,20,"HINDZINC,INFY,WIPRO,TCS,ITC,COALINDIA,INDUSTOWER,INDIGO,ASHOKLEY,HDFCBANK,MARICO,HCLTECH,PETRONET,GILLETTE,COROMANDEL,EICHERMOT,GODFRYPHLP,ICICIBANK,ICICI,M&M"
2025-04,Choppy,2.7261,20,"INFY,HCLTECH,TCS,HDFCBANK,ITC,WIPRO,COALINDIA,ASHOKLEY,KOTAKBANK,GILLETTE,MARICO,ICICIBANK,ICICI,GODFRYPHLP,HINDZINC,COROMANDEL,MARUTI,PETRONET,NESTLEIND,M&M"
2025-05,Choppy,4.2655,20,"HCLTECH,TCS,ITC,INFY,ICICIBANK,ICICI,HDFCBANK,KOTAKBANK,COALINDIA,WIPRO,NESTLEIND,GODFRYPHLP,PETRONET,COROMANDEL,INDIGO,EICHERMOT,DRREDDY,SBICARD,MARICO,NH"
2025-06,Bull,-2.8885,20,"HDFCBANK,BHARTIARTL,KOTAKBANK,ITC,ICICIBANK,ICICI,HCLTECH,ASTERDM,GODFRYPHLP,TCS,COROMANDEL,INDUSTOWER,SHRIRAMFIN,EICHERMOT,MARICO,LUPIN,CIPLA,AVANTIFEED,MARUTI,ASHOKLEY"
2025-07,Bull,-1.0968,20,"HDFCBANK,BHARTIARTL,KOTAKBANK,ASTERDM,ICICIBANK,ICICI,HCLTECH,GODFRYPHLP,SHRIRAMFIN,ITC,COROMANDEL,GILLETTE,BAJFINANCE,GLAXO,EICHERMOT,NESTLEIND,UNIONBANK,AXISBANK,MARICO,ASHOKLEY"
2025-08,Bull,2.3921,20,"HDFCBANK,KOTAKBANK,BHARTIARTL,ASTERDM,ICICIBANK,ICICI,UNIONBANK,HCLTECH,GILLETTE,COROMANDEL,ASHOKLEY,GODFRYPHLP,BAJFINANCE,SHRIRAMFIN,ITC,EICHERMOT,GLAXO,MARICO,AXISBANK,INDIANB"
2025-09,Bull,2.5539,20,"HDFCBANK,BHARTIARTL,ICICIBANK,ICICI,KOTAKBANK,ASHOKLEY,ASTERDM,COROMANDEL,GODFRYPHLP,ITC,UNIONBANK,INDIANB,EICHERMOT,BAJFINANCE,TORNTPHARM,MARICO,DRREDDY,HDFCAMC,CIPLA,HCLTECH"
2025-10,Bull,3.0253,20,"ASHOKLEY,HDFCBANK,BHARTIARTL,KOTAKBANK,GODFRYPHLP,ASTERDM,EICHERMOT,ICICIBANK,ICICI,COROMANDEL,BAJFINANCE,MARICO,ITC,INDIGO,NESTLEIND,CIPLA,HEROMOTOCO,UNIONBANK,M&M,M& M"
2025-11,Bull,0.5311,20,"BAJFINANCE,ASHOKLEY,HDFCBANK,KOTAKBANK,SHRIRAMFIN,EICHERMOT,MARUTI,GODFRYPHLP,ASTERDM,BHARTIARTL,BRITANNIA,ITC,HEROMOTOCO,ICICIBANK,ICICI,INDIANB,COROMANDEL,CHOLAFIN,COALINDIA,UNIONBANK"
2025-12,Bull,-2.1195,20,"SHRIRAMFIN,BAJFINANCE,KOTAKBANK,ASHOKLEY,HDFCBANK,BHARTIARTL,INDIANB,EICHERMOT,GODFRYPHLP,HEROMOTOCO,ITC,AXISBANK,ICICIBANK,ICICI,ASTERDM,BRITANNIA,UNIONBANK,CHOLAFIN,COALINDIA,CANBK"
2026-01,Bull,4.632,20,"SHRIRAMFIN,ASHOKLEY,HDFCBANK,BAJFINANCE,KOTAKBANK,AXISBANK,INDIANB,UNIONBANK,ICICIBANK,ICICI,HEROMOTOCO,GODFRYPHLP,BHARTIARTL,EICHERMOT,CANBK,MARUTI,ITC,ASTERDM,BANKBARODA,COALINDIA"
2026-02,Bull,-13.7076,20,"INDIANB,ASHOKLEY,SHRIRAMFIN,UNIONBANK,HINDZINC,MAHABANK,HDFCBANK,COALINDIA,KARURVYSYA,KOTAKBANK,CANBK,BANKBARODA,HEROMOTOCO,NATIONALUM,BHARTIARTL,MARUTI,ITC,ICICIBANK,ICICI,EICHERMOT"
2026-03,Choppy,5.6137,20,"COALINDIA,INDIANB,ASHOKLEY,SHRIRAMFIN,NATIONALUM,MAHABANK,UNIONBANK,INDUSTOWER,INFY,HDFCBANK,HINDZINC,AXISBANK,KARURVYSYA,STAR,HEROMOTOCO,HCLTECH,BHARTIARTL,CANBK,MARUTI,ICICIBANK"
2026-04,Choppy,-0.2409,20,"INDIANB,COALINDIA,UNIONBANK,ASHOKLEY,SHRIRAMFIN,NATIONALUM,KARURVYSYA,INDUSTOWER,HEROMOTOCO,AXISBANK,HDFCBANK,MAHABANK,ICICIBANK,ICICI,ONGC,ASTERDM,CANBK,STAR,BANKBARODA,INFY"
2026-05,Bull,0.5332,20,"COALINDIA,INDIANB,NATIONALUM,ASHOKLEY,SHRIRAMFIN,KARURVYSYA,UNIONBANK,ONGC,INDUSTOWER,ASTERDM,HEROMOTOCO,TORNTPHARM,ICICIBANK,ICICI,KOTAKBANK,STAR,AXISBANK,INFY,HDFCBANK,NMDC"
