date,regime,portfolio_return,n_stocks,stocks
2024-07,Bull,-2.9537,20,"COCHINSHIP,IRCON,SOLARINDS,SJVN,RECLTD,NETWEB,COALINDIA,ITI,MCX,IFCI,BEL,TRENT,BSE,ADANIPOWER,HAL,HINDZINC,IOB,NMDC,TORNTPOWER,RVNL"
2024-08,Bull,-3.3562,20,"MCX,COCHINSHIP,OFSS,TATAINVEST,NETWEB,BEL,HAL,TORNTPOWER,TRENT,IRCON,ITI,BDL,IFCI,PRESTIGE,HINDZINC,COALINDIA,CHENNPETRO,RVNL,SJVN,AEGISLOG"
2024-09,Bull,-5.0774,20,"BASF,OFSS,COCHINSHIP,TORNTPOWER,SOLARINDS,BEL,TRENT,NETWEB,HAL,INDUSTOWER,BDL,HINDPETRO,HINDZINC,MCX,IFCI,PRESTIGE,AEGISLOG,IOC,RVNL,RECLTD"
2024-10,Bull,0.0615,20,"GODFRYPHLP,BASF,OFSS,COCHINSHIP,NETWEB,INDUSTOWER,TRENT,TORNTPOWER,HINDPETRO,STAR,HAL,MCX,BDL,SCHNEIDER,BEL,TATAINVEST,IFCI,RVNL,GVT&D,WOCKPHARMA"
2024-11,Bull,-6.043,20,"GODFRYPHLP,OFSS,BASF,COCHINSHIP,STAR,NETWEB,TRENT,SCHNEIDER,VOLTAS,NATIONALUM,THERMAX,NAVA,INDUSTOWER,RVNL,GVT&D,SIEMENS,BEL,IFCI,CENTURYTEX,ABREL"
2024-12,Bull,-12.1619,20,"GODFRYPHLP,BASF,OFSS,MCX,POLYMED,AMBER,TRENT,TORNTPOWER,NETWEB,HINDZINC,STAR,AEGISLOG,COCHINSHIP,AZAD,TIMETECHNO,GVT&D,GLENMARK,SIEMENS,BLUESTARCO,CENTURYTEX"
2025-01,Choppy,-9.4082,20,"NESTLEIND,INDIGO,COLPAL,ADANIPOWER,NAM-INDIA,HDFCAMC,BRITANNIA,TATACOMM,HINDZINC,TCS,COALINDIA,UJJIVAN,CASTROLIND,CREDITACC,MARICO,TITAN,TATAMOTORS,TRENT,TATAELXSI,PREMIERENE"
2025-02,Choppy,7.7444,20,"NESTLEIND,INDIGO,COLPAL,ADANIPOWER,NAM-INDIA,HDFCAMC,BRITANNIA,TATACOMM,HINDZINC,TCS,COALINDIA,UJJIVAN,CASTROLIND,CREDITACC,MARICO,TITAN,TATAMOTORS,TRENT,TATAELXSI,POONAWALLA"
2025-03,Choppy,5.1766,20,"NESTLEIND,INDIGO,COLPAL,NAM-INDIA,ADANIPOWER,HDFCAMC,BRITANNIA,TATACOMM,HINDZINC,TCS,COALINDIA,UJJIVAN,CREDITACC,CASTROLIND,MARICO,TITAN,TATAMOTORS,TRENT,POONAWALLA,MAHABANK"
2025-04,Choppy,4.9703,20,"NESTLEIND,INDIGO,COLPAL,NAM-INDIA,ADANIPOWER,HDFCAMC,BRITANNIA,TATACOMM,HINDZINC,TCS,COALINDIA,UJJIVAN,CREDITACC,CASTROLIND,MARICO,TITAN,TATAMOTORS,POONAWALLA,TRENT,MAHABANK"
