date,regime,portfolio_return,n_stocks,stocks
2024-07,Bull,0.1763,20,"COALINDIA,RECLTD,HINDZINC,IOC,NMDC,HINDPETRO,MAHABANK,ADANIPOWER,GODFRYPHLP,INDUSTOWER,CHENNPETRO,BPCL,SOLARINDS,BEL,INDIGO,MRPL,OFSS,GLAXO,TORNTPOWER,IRCON"
2024-08,Bull,0.3803,20,"COALINDIA,HINDZINC,IOC,HINDPETRO,RECLTD,INDUSTOWER,NMDC,CHENNPETRO,GODFRYPHLP,BPCL,OFSS,ADANIPOWER,BEL,INDIGO,SOLARINDS,MRPL,MAHABANK,TORNTPOWER,PETRONET,BASF"
2024-09,Bull,-9.3439,20,"IOC,COALINDIA,HINDPETRO,HINDZINC,BPCL,INDUSTOWER,RECLTD,GODFRYPHLP,INDIGO,OFSS,BASF,BEL,SOLARINDS,CHENNPETRO,MRPL,NMDC,ADANIPOWER,TORNTPOWER,HAL,PETRONET"
2024-10,Bull,-2.0232,20,"HINDPETRO,COALINDIA,IOC,GODFRYPHLP,BPCL,INDUSTOWER,RECLTD,INDIGO,PETRONET,OFSS,BASF,HINDZINC,NATCOPHARM,BEL,TORNTPOWER,HAL,SOLARINDS,ONGC,TORNTPHARM,BAJAJ-AUTO"
2024-11,Bull,-1.7898,20,"GODFRYPHLP,HINDPETRO,COALINDIA,HINDZINC,INDUSTOWER,BPCL,IOC,OFSS,BASF,INDIGO,PETRONET,NATCOPHARM,BEL,RECLTD,BAJAJ-AUTO,SOLARINDS,MGL,COLPAL,TORNTPOWER,TORNTPHARM"
2024-12,Bull,-8.1931,20,"HINDZINC,GODFRYPHLP,HINDPETRO,GILLETTE,INDUSTOWER,BASF,NATCOPHARM,PETRONET,OFSS,COALINDIA,BPCL,INDIGO,BEL,TORNTPOWER,SIEMENS,BOSCHLTD,NAM-INDIA,SOLARINDS,TORNTPHARM,RECLTD"
2025-01,Choppy,-10.1068,20,"INDIGO,HINDZINC,HINDPETRO,BPCL,COALINDIA,ICICIBANK,ICICI,INDUSTOWER,RECLTD,TRENT,HAL,OFSS,ASHOKLEY,TATAMOTORS,M&M,M& M,BEL,AXISBANK,ADANIPOWER,IOC"
2025-02,Choppy,9.4779,20,"HINDZINC,INDIGO,RECLTD,HINDPETRO,ICICIBANK,ICICI,TRENT,INDUSTOWER,HAL,COALINDIA,BAJFINANCE,OFSS,ITC,BPCL,ASHOKLEY,INFY,HDFCBANK,M&M,M& M,ADANIPOWER"
2025-03,Choppy,3.2942,20,"HINDZINC,INFY,HINDPETRO,INDIGO,BAJFINANCE,COALINDIA,ICICIBANK,ICICI,RECLTD,ASHOKLEY,TCS,M&M,M& M,TRENT,ITC,CHOLAHLDNG,INDUSTOWER,HCLTECH,HDFCBANK,ADANIPOWER"
2025-04,Choppy,2.8829,20,"BAJFINANCE,INFY,INDIGO,ICICIBANK,ICICI,COALINDIA,HCLTECH,CHOLAHLDNG,HINDPETRO,HDFCBANK,TCS,CHOLAFIN,HINDZINC,ASHOKLEY,ITC,KOTAKBANK,BPCL,AXISBANK,SHRIRAMFIN,WIPRO"
