effective_date,index_type,inclusions,exclusions,symbols
2015-03-27,Nifty50,"IDEA,YESBANK","DLF,JINDALSTEL","AARTIIND,ABBOTINDIA,ABREL,ACC,ACCELYA,AKZOINDIA,AMBUJACEM,ASAHIINDIA,ASIANPAINT,AXISBANK,BAJAJ-AUTO,BANKBARODA,BHARTI,BHARTIARTL,BHEL,BPCL,BSOFT,CIPLA,COALINDIA,DRREDDY,GAIL,GRASIM,HCLTECH,HEROMOTOCO,IDEA,IDFC,IDFCFIRSTB,INDUSINDBK,INFY,KOTAKBANK,LT,LUPIN,M& M,MARUTI,NMDC,NTPC,ONGC,PNB,POWERGRID,SESA,SKBEECHAM,SUNPHARMA,TATAPOWER,TCS,TECHM,ULTRACEMCO,VEDL,WIPRO,YESBANK,ZEEL"
2015-05-29,Nifty50,BOSCH-HCIL,IDFCFIRSTB,"AARTIIND,ABBOTINDIA,ABREL,ACC,ACCELYA,AKZOINDIA,AMBUJACEM,ASAHIINDIA,ASIANPAINT,AXISBANK,BAJAJ-AUTO,BANKBARODA,BHARTI,BHARTIARTL,BHEL,BOSCH-HCIL,BPCL,BSOFT,CIPLA,COALINDIA,DRREDDY,GAIL,GRASIM,HCLTECH,HEROMOTOCO,IDEA,IDFC,INDUSINDBK,INFY,KOTAKBANK,LT,LUPIN,M& M,MARUTI,NMDC,NTPC,ONGC,PNB,POWERGRID,SESA,SKBEECHAM,SUNPHARMA,TATAPOWER,TCS,TECHM,ULTRACEMCO,VEDL,WIPRO,YESBANK,ZEEL"
2015-09-28,Nifty50,ADANIPORTS,NMDC,"AARTIIND,ABBOTINDIA,ABREL,ACC,ACCELYA,ADANIPORTS,AKZOINDIA,AMBUJACEM,ASAHIINDIA,ASIANPAINT,AXISBANK,BAJAJ-AUTO,BANKBARODA,BHARTI,BHARTIARTL,BHEL,BOSCH-HCIL,BPCL,BSOFT,CIPLA,COALINDIA,DRREDDY,GAIL,GRASIM,HCLTECH,HEROMOTOCO,IDEA,IDFC,INDUSINDBK,INFY,KOTAKBANK,LT,LUPIN,M& M,MARUTI,NTPC,ONGC,PNB,POWERGRID,SESA,SKBEECHAM,SUNPHARMA,TATAPOWER,TCS,TECHM,ULTRACEMCO,VEDL,WIPRO,YESBANK,ZEEL"
2016-04-01,Nifty50,"EICHERMOT,INDUSTOWER,AUROPHARMA,TMCV","PNB,VEDL,CAIRN","AARTIIND,ABBOTINDIA,ABREL,ACC,ACCELYA,ADANIPORTS,AKZOINDIA,AMBUJACEM,ASAHIINDIA,ASIANPAINT,AUROPHARMA,AXISBANK,BAJAJ-AUTO,BANKBARODA,BHARTI,BHARTIARTL,BHEL,BPCL,BSOFT,CIPLA,COALINDIA,DRREDDY,EICHERMOT,GAIL,GRASIM,HCLTECH,HEROMOTOCO,IDEA,IDFC,INDUSINDBK,INDUSTOWER,INFY,KOTAKBANK,LT,LUPIN,M& M,MARUTI,NTPC,ONGC,POWERGRID,SESA,SUNPHARMA,TATAPOWER,TCS,TECHM,TMCV,ULTRACEMCO,WIPRO,YESBANK,ZEEL"
2017-03-31,Nifty50,"IBULHSGFIN,IOC","BHEL,IDEA","AARTIIND,ABBOTINDIA,ABREL,ACC,ACCELYA,ADANIPORTS,AKZOINDIA,AMBUJACEM,ASAHIINDIA,ASIANPAINT,AUROPHARMA,AXISBANK,BAJAJ-AUTO,BANKBARODA,BHARTI,BHARTIARTL,BPCL,BSOFT,CIPLA,COALINDIA,DRREDDY,EICHERMOT,GAIL,GRASIM,HCLTECH,HEROMOTOCO,IBULHSGFIN,IDFC,INDUSINDBK,INDUSTOWER,INFY,IOC,KOTAKBANK,LT,LUPIN,M& M,MARUTI,NTPC,ONGC,POWERGRID,SESA,SUNPHARMA,TATAPOWER,TCS,TECHM,TMCV,ULTRACEMCO,WIPRO,YESBANK,ZEEL"
2017-05-26,Nifty50,VEDL,GRASIM,"AARTIIND,ABBOTINDIA,ABREL,ACC,ACCELYA,ADANIPORTS,AKZOINDIA,AMBUJACEM,ASAHIINDIA,ASIANPAINT,AUROPHARMA,AXISBANK,BAJAJ-AUTO,BANKBARODA,BHARTI,BHARTIARTL,BPCL,BSOFT,CIPLA,COALINDIA,DRREDDY,EICHERMOT,GAIL,HCLTECH,HEROMOTOCO,IBULHSGFIN,IDFC,INDUSINDBK,INDUSTOWER,INFY,IOC,KOTAKBANK,LT,LUPIN,M& M,MARUTI,NTPC,ONGC,POWERGRID,SESA,SUNPHARMA,TATAPOWER,TCS,TECHM,TMCV,ULTRACEMCO,VEDL,WIPRO,YESBANK,ZEEL"
2017-09-29,Nifty50,"UPL,BAJFINANCE,HINDPETRO","TATAPOWER,BANKBARODA,ACCELYA,TMCV","AARTIIND,ABB,ABBOTINDIA,ABREL,ACC,ADANIPORTS,AKZOINDIA,AMBUJACEM,ASAHIINDIA,ASIANPAINT,AUROPHARMA,AXISBANK,BAJAJ-AUTO,BAJFINANCE,BHARTI,BHARTIARTL,BPCL,BSOFT,CIPLA,COALINDIA,DRREDDY,EICHERMOT,GAIL,HCLTECH,HEROMOTOCO,HINDPETRO,IBULHSGFIN,IDFC,INDUSINDBK,INDUSTOWER,INFY,IOC,KOTAKBANK,LT,LUPIN,M& M,MARUTI,NTPC,ONGC,POWERGRID,SESA,SUNPHARMA,TCS,TECHM,ULTRACEMCO,UPL,VEDL,WIPRO,YESBANK,ZEEL"
2018-04-02,Nifty50,"BAJAJFINSV,GRASIM,TITAN","AMBUJACEM,AUROPHARMA,BOSCH-HCIL","AARTIIND,ABB,ABBOTINDIA,ABREL,ACC,ADANIPORTS,AKZOINDIA,ASAHIINDIA,ASIANPAINT,AXISBANK,BAJAJ-AUTO,BAJAJFINSV,BAJFINANCE,BHARTIARTL,BPCL,BSOFT,CIPLA,COALINDIA,DRREDDY,EICHERMOT,GAIL,GRASIM,HCLTECH,HEROMOTOCO,HINDPETRO,IBULHSGFIN,IDFC,INDUSINDBK,INDUSTOWER,INFY,IOC,KOTAKBANK,LT,LUPIN,M& M,MARUTI,NTPC,ONGC,POWERGRID,SESA,SUNPHARMA,TCS,TECHM,TITAN,ULTRACEMCO,UPL,VEDL,WIPRO,YESBANK,ZEEL"
2018-09-28,Nifty50,JSWSTEEL,LUPIN,"AARTIIND,ABB,ABBOTINDIA,ABREL,ACC,ADANIPORTS,AKZOINDIA,ASAHIINDIA,ASIANPAINT,AXISBANK,BAJAJ-AUTO,BAJAJFINSV,BAJFINANCE,BHARTIARTL,BPCL,BSOFT,CIPLA,COALINDIA,DRREDDY,EICHERMOT,GAIL,GRASIM,HCLTECH,HEROMOTOCO,HINDPETRO,IBULHSGFIN,IDFC,INDUSINDBK,INDUSTOWER,INFY,IOC,JSWSTEEL,KOTAKBANK,LT,M& M,MARUTI,NTPC,ONGC,POWERGRID,SESA,SUNPHARMA,TCS,TECHM,TITAN,ULTRACEMCO,UPL,VEDL,WIPRO,YESBANK,ZEEL"
2019-03-29,Nifty50,BRITANNIA,HINDPETRO,"AARTIIND,ABB,ABBOTINDIA,ABREL,ACC,ADANIPORTS,AKZOINDIA,ASAHIINDIA,ASIANPAINT,AXISBANK,BAJAJ-AUTO,BAJAJFINSV,BAJFINANCE,BHARTIARTL,BPCL,BRITANNIA,BSOFT,CIPLA,COALINDIA,DRREDDY,EICHERMOT,GAIL,GRASIM,HCLTECH,HEROMOTOCO,IBULHSGFIN,IDFC,INDUSINDBK,INDUSTOWER,INFY,IOC,JSWSTEEL,KOTAKBANK,LT,M& M,MARUTI,NTPC,ONGC,POWERGRID,SESA,SUNPHARMA,TCS,TECHM,TITAN,ULTRACEMCO,UPL,VEDL,WIPRO,YESBANK,ZEEL"
2019-09-27,Nifty50,NESTLEIND,IBULHSGFIN,"AARTIIND,ABB,ABBOTINDIA,ABREL,ACC,ADANIPORTS,AKZOINDIA,ASAHIINDIA,ASIANPAINT,AXISBANK,BAJAJ-AUTO,BAJAJFINSV,BAJFINANCE,BHARTIARTL,BPCL,BRITANNIA,BSOFT,CIPLA,COALINDIA,DRREDDY,EICHERMOT,GAIL,GRASIM,HCLTECH,HEROMOTOCO,IDFC,INDUSINDBK,INDUSTOWER,INFY,IOC,JSWSTEEL,KOTAKBANK,LT,M& M,MARUTI,NESTLEIND,NTPC,ONGC,POWERGRID,SESA,SUNPHARMA,TCS,TECHM,TITAN,ULTRACEMCO,UPL,VEDL,WIPRO,YESBANK,ZEEL"
2020-03-19,Nifty50,SHREECEM,YESBANK,"AARTIIND,ABB,ABBOTINDIA,ABREL,ACC,ADANIPORTS,AKZOINDIA,ASAHIINDIA,ASIANPAINT,AXISBANK,BAJAJ-AUTO,BAJAJFINSV,BAJFINANCE,BHARTIARTL,BPCL,BRITANNIA,BSOFT,CIPLA,COALINDIA,DRREDDY,EICHERMOT,GAIL,GRASIM,HCLTECH,HEROMOTOCO,IDFC,INDUSINDBK,INDUSTOWER,INFY,IOC,JSWSTEEL,KOTAKBANK,LT,M& M,MARUTI,NESTLEIND,NTPC,ONGC,POWERGRID,SESA,SHREECEM,SUNPHARMA,TCS,TECHM,TITAN,ULTRACEMCO,UPL,VEDL,WIPRO,ZEEL"
